name,type,pop2010,county_1,county_2,county_3,county_4,incorp_pre18720701,incorp_post18720701,incorp_sos,earliest_date
Shawneetown,C,"1,239",Gallatin,,,,1814-12-08,1874-05-22,1874-07-29,1814-12-08
Kaskaskia,V,14,Randolph,,,,1818-01-06,1873-05-26,1903-08-14,1818-01-06
Cairo,C,"2,831",Alexander,,,,1818-01-09,1873-01-07,1873-03-18,1818-01-09
Edwardsville,C,"24,293",Madison,,,,1819-02-23,1872-09-23,1872-12-16,1819-02-23
Carmi,C,"5,240",White,,,,1819-03-24,1873-03-10,1873-07-22,1819-03-24
Belleville,C,"44,478",St. Clair,,,,1819-03-27,1876-05-11,1877-02-15,1819-03-27
Alton,C,"27,865",Madison,,,,1821-01-30,1877-09-11,1877-10-10,1821-01-30
Vandalia,C,"7,042",Fayette,,,,1821-02-15,1884-04-15,1884-05-08,1821-02-15
Mount Carmel,C,"7,284",Wabash,,,,1825-01-10,1877-05-07,1877-05-21,1825-01-10
Newton,C,"2,849",Jasper,,,,1831-02-15,1885-09-08,1885-09-09,1831-02-15
Knoxville,C,"2,911",Knox,,,,1832-12-22,1873-03-10,1873-03-29,1832-12-22
Urbana,C,"41,250",Champaign,,,,1833-02-20,1873-04-19,1873-06-30,1833-02-20
Chester,C,"8,586",Randolph,,,,1835-01-07,1873-03-29,1873-07-14,1835-01-07
Galena,C,"3,429",JoDaviess,,,,1835-01-07,1882-04-18,1882-06-12,1835-01-07
Chicago,C,"2,695,598",Cook,,,,1835-02-11,1875-04-23,1875-05-12,1835-02-11
Lawrenceville,C,"4,348",Lawrence,,,,1835-02-12,1879-03-12,1895-05-07,1835-02-12
White Hall,C,"2,520",Greene,,,,1837-01-01,1884-02-18,1884-03-25,1837-01-01
Carlyle,C,"3,281",Clinton,,,,1837-02-10,1884-04-17,1902-04-26,1837-02-10
Mount Sterling,C,"2,025",Brown,,,,1837-02-10,1875-03-13,1875-04-22,1837-02-10
Mt. Vernon,C,"15,277",Jefferson,,,,1837-02-10,1872-08-05,1872-08-24,1837-02-10
Salem,C,"7,485",Marion,,,,1837-02-10,1894-02-19,1894-05-18,1837-02-10
Peoria,C,"115,007",Peoria,,,,1837-02-21,1891-10-20,1892-01-13,1837-02-21
Greenfield,C,"1,071",Greene,,,,1837-02-26,1884-04-07,1884-06-02,1837-02-26
Carthage,C,"2,605",Hancock,,,,1837-02-27,1883-04-17,1883-05-31,1837-02-27
Clayton,V,709,Adams,,,,1837-02-27,1880-02-09,1880-07-14,1837-02-27
Lynnville,V,117,Morgan,,,,1837-02-27,1895-06-06,1895-10-26,1837-02-27
Vienna,C,"1,434",Johnson,,,,1837-02-27,1877-02-26,1878-01-11,1837-02-27
Warsaw,C,"1,607",Hancock,,,,1837-02-27,1906-03-12,1906-06-05,1837-02-27
Grafton,C,674,Jersey,,,,1837-02-28,1907-04-09,1907-05-16,1837-02-28
Carlinville,C,"5,917",Macoupin,,,,1837-03-04,1887-04-05,1887-05-31,1837-03-04
Ripley,V,86,Brown,,,,1837-07-20,1874-04-10,1902-04-16,1837-07-20
Beardstown,C,"6,123",Cass,,,,1837-07-21,1896-02-17,1897-05-17,1837-07-21
Franklin,V,610,Morgan,,,,1837-07-21,1887-06-13,1887-06-25,1837-07-21
Ottawa,C,"18,768",LaSalle,,,,1837-07-21,1882-03-20,1882-05-13,1837-07-21
Wilmington,C,"5,724",Will,,,,1837-07-31,1902-01-12,1902-02-03,1837-07-31
Astoria,T,"1,141",Fulton,,,,1839-01-24,,,1839-01-24
Naples,T,130,Scott,,,,1839-02-01,,,1839-02-01
Danville,C,"33,027",Vermilion,,,,1839-02-03,1874-03-17,1874-06-09,1839-02-03
St. Charles,C,"32,974",DuPage ,Kane,,,1839-02-09,1874-10-17,1874-12-21,1839-02-09
Mendon,V,953,Adams,,,,1839-02-12,1891-06-09,1891-07-15,1839-02-12
New Haven,V,433,Gallatin,,,,1839-02-15,1873-03-27,1894-08-07,1839-02-15
Mascoutah,C,"7,483",St. Clair,,,,1839-02-16,1883-04-02,1883-06-11,1839-02-16
Quincy,C,"40,633",Adams,,,,1839-02-21,1895-02-12,1897-08-05,1839-02-21
Pekin,C,"34,094",Peoria ,Tazewell ,,,1839-02-23,1874-04-20,1874-08-10,1839-02-23
Bloomington,C,"76,610",McLean,,,,1839-03-02,1897-03-08,1897-04-29,1839-03-02
Charleston,C,"21,838",Coles,,,,1839-03-02,1872-10-12,1872-11-20,1839-03-02
Decatur,C,"76,122",Macon,,,,1839-03-02,1881-04-21,1881-05-03,1839-03-02
Hennepin,V,757,Putnam,,,,1839-03-02,1872-08-07,1872-09-05,1839-03-02
Rushville,C,"3,192",Schuyler,,,,1839-03-02,1898-04-13,1954-04-06,1839-03-02
Shelbyville,C,"4,700",Shelby,,,,1839-03-02,1889-03-11,1889-05-31,1839-03-02
Lacon,C,"1,937",Marshall,,,,1839-12-10,1873-03-28,1873-05-27,1839-12-10
Phillipstown,V,44,White,,,,1840-01-29,1874-06-29,1874-08-08,1840-01-29
Fairfield,C,"5,154",Wayne,,,,1840-01-31,1884-02-20,1884-02-26,1840-01-31
Mackinaw,V,"1,950",Tazewell,,,,1840-01-31,1897-03-19,1897-06-09,1840-01-31
McLeansboro,C,"2,883",Hamilton,,,,1840-01-31,1874-08-10,1874-09-15,1840-01-31
Scottville,V,116,Macoupin,,,,1840-01-31,1885-05-08,1885-06-25,1840-01-31
Jacksonville,C,"19,446",Morgan,,,,1840-02-03,1887-04-04,1887-04-11,1840-02-03
Springfield,C,"116,250",Sangamon,,,,1840-02-03,1882-04-06,1882-04-20,1840-02-03
Tiskilwa,V,829,Bureau,,,,1840-04-06,1890-03-31,1890-04-02,1840-04-06
Benton,C,"7,087",Franklin,,,,1841-01-07,1875-01-27,1875-04-14,1841-01-07
Galesburg,C,"32,195",Knox,,,,1841-01-27,1876-07-20,1877-04-11,1841-01-27
Macomb,C,"19,288",McDonough,,,,1841-01-27,1882-04-18,1882-06-23,1841-01-27
Monticello,C,"5,548",Piatt,,,,1841-01-27,1872-11-04,1873-01-23,1841-01-27
Nauvoo,C,"1,149",Hancock,,,,1841-02-01,1899-04-10,1899-07-11,1841-02-01
Sterling,C,"15,370",Whiteside,,,,1841-02-17,1884-03-03,1884-06-02,1841-02-17
Petersburg,C,"2,260",Menard,,,,1841-02-23,1882-04-04,1882-06-14,1841-02-23
Marion,C,"17,193",Williamson,,,,1841-02-24,1874-04-10,1905-09-08,1841-02-24
Olney,C,"9,115",Richland,,,,1841-02-24,1911-02-15,1911-04-29,1841-02-24
Rock Island,C,"39,018",Rock Island,,,,1841-02-27,1879-11-04,1879-12-08,1841-02-27
Tremont,V,"2,236",Tazewell,,,,1841-02-27,1878-08-12,1894-10-05,1841-02-27
Oregon,C,"3,721",Ogle,,,,1843-02-21,1873-03-29,1873-07-09,1843-02-21
Blue Island,C,"23,706",Cook,,,,1843-02-24,1872-09-07,1894-09-05,1843-02-24
Newark 1,V,992,Kendall,,,,1843-02-28,1875-02-13,1875-05-01,1843-02-28
Brimfield,V,868,Peoria,,,,1843-03-02,1895-02-26,1895-03-16,1843-03-02
St. Francisville,C,697,Lawrence,,,,1843-03-03,1873-01-28,1873-04-10,1843-03-03
